Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,531.73,550.00,518.55,539.70,1877300,539.70
2015-01-02,529.01,542.17,487.56,534.52,2783500,534.52
2014-12-01,538.90,541.41,489.00,526.40,2140800,526.40
2014-11-03,555.50,557.90,530.08,541.83,1557000,541.83
2014-10-01,576.01,581.00,508.10,559.08,2349900,559.08
2014-09-02,571.85,596.48,568.21,577.36,1668700,577.36
2014-08-01,570.40,587.34,560.00,571.60,1365000,571.60
2014-07-01,578.32,599.65,565.01,571.60,1664200,571.60
2014-06-02,560.70,582.45,538.75,575.28,1867000,575.28
2014-05-01,527.11,567.84,503.30,559.89,1823500,559.89
2014-04-01,558.71,604.83,502.80,526.66,3281700,526.66
2014-03-27,568.00,568.00,552.92,556.97,25200,556.97
