	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
0	Seed_Scientific	80605	2	['python', 'sql']	New York, NY	no	no	Associate Data Engineer/Data Wrangler		['data', 'data_wrangling', 'engineer']	yes
1	Realeyes	88096	5	['python', 'machine learning', 'spark', 'hadoop', 'svm']	Budapest, Hungary	yes	no	Scalable Machine Learning Infrastructure Engineer		['engineer', 'infrastructure', 'machine_learning', 'scalability']	yes
2	SumAll	85469	5	['python', 'java', 'haskell', 'hadoop', 'mongodb']	New York, NY	no	no	Data Engineer		['data', 'engineer']	yes
3	Narrative_Science	83690	5	['postgresql', 'mongodb', 'redis', 'database administration', 'rds']	Chicago, IL	no	no	Data Architect/DBA		['architect', 'data', 'dba']	yes
4	Barricadeio	83343	5	['kafka', 'storm', 'hadoop', 'statistics', 'large data']	Cork Airport Business Park, Ireland	yes	no	Data Science Engineer		['data_science', 'engineer']	yes
5	Bookingcom	67142	4	['bigdata', 'machine learning', 'hadoop', 'e commerce']	Amsterdam, Netherlands	yes	no	Product Owner  Data Science		['data_science', 'product']	yes
6	Shazam	43416	5	['hadoop', 'pig', 'elastic map reduce', 'java', 'scala']	Menlo Park, CA	no	no	Senior Data Engineer		['data', 'engineer', 'senior']	yes
7	Simons_Foundation	86062	5	['big', 'hadoop', 'c++', 'python', 'mysql']	New York, NY	no	no	Senior Software Engineer	Center for Data Analysis	['data_analysis', 'engineer', 'senior', 'software']	yes
8	BHE	21241	4	['java', '.net', 'sql', 'r']	Waltham, MA	yes	no	Data Analyst/Engineer		['data_analysis', 'engineer']	yes
9	zulily	86208	0	[]	Seattle, WA	no	no	Manager	Data Science	['data_science', 'manager']	yes
10	WIREWAX	84515	5	['python', 'machine learning', 'd3.js', 'data analysis', 'computer vision']	London, UK	no	no	Software & Data Science Engineer for Taggable Video Company		['data_science', 'engineer', 'software']	yes
11	Global_Legal_Entity_Identifier_Foundation	86865	4	['xml', 'xslt', 'sql', 'modeling']	Frankfurt, Germany	no	no	Data Quality Expert		['data', 'quality']	yes
12	Forecast5_Analytics	82333	5	['sql server', 'postgresql', 'excel', 'etl', 'sql']	Naperville, IL	no	no	Senior BI Analyst		['analyst', 'senior']	yes
13	DuPont_Pioneer	87091	2	['sql', 'etl']	Johnston	no	no	ETL Developer - Operational Support	CGR00001688	['development', 'etl']	yes
14	Johns_Hopkins_University	84636	6	['bigdata', 'networking', 'zfs', 'storage', 'hpc', 'sysadmin']	Baltimore, MD	no	no	Systems Engineer	Big Data	['data', 'engineer']	yes
15	Mitra_Capital	85396	5	['data science', 'machine learning', 'python', 'sql', 'java']	Boston, MA	no	no	Data Scientist/Machine Learning Engineer		['data_science', 'engineer', 'machine_learning']	yes
16	Wikia	79133	5	['hadoop', 'python', 'etl', 'data warehouse', 'database']	Pozna, Poland	yes	no	Hadoop Engineer [Pozna]		['engineer', 'hadoop']	yes
17	GoDataDriven	87887	5	['r', 'python', 'apache spark', 'pandas', 'hadoop']	Amsterdam, Netherlands	no	no	Data Scientist		['data_science']	yes
18	Crowdsurfer	87661	5	['python 3.x', 'machine learning', 'dataset', 'scikit learn', 'mongodb']	Cambridge, UK	no	no	Funded startup seeks data scientist machine learning expert		['data_science', 'machine_learning', 'startup']	yes
19	Factual	83710	5	['javascript', 'sql', 'jquery', 'node', 'rails']	Los Angeles, CA	no	no	Software Engineer	Full-stack	['engineer', 'software']	yes
20	Rally_Health	78213	5	['sql', 'automation', 'selenium', 'hadoop', 'testing']	San Francisco, CA	yes	no	Software Engineer	Data Automation	['data', 'engineer', 'software']	yes
